Car ID,Train Name,Seq Number,Car Length Feet,Outbound Block
1,Train37_1729,1,58,FLL
2,Train37_1729,2,60,SEA
3,Train37_1729,3,60,IND
4,Train37_1729,4,60,SNA
5,Train37_1729,5,60,SNA
6,Train37_1729,6,60,SEA
7,Train37_1729,7,43,CLT
8,Train37_1729,8,43,CLT
9,Train37_1729,9,43,CLT
10,Train37_1729,10,60,SEA
11,Train37_1729,11,58,SEA
12,Train37_1729,12,70,SEA
13,Train37_1729,13,57,SNA
14,Train37_1729,14,60,SNA
15,Train37_1729,15,60,SNA
16,Train37_1729,16,60,SNA
17,Train37_1729,17,55,RDU
18,Train37_1729,18,60,IND
19,Train37_1729,19,66,SMF
20,Train37_1729,20,55,MSP
21,Train37_1729,21,68,MSP
22,Train37_1729,22,55,DFW
23,Train37_1729,23,55,BOS
24,Train37_1729,24,55,DFW
25,Train37_1729,25,55,BOS
26,Train37_1729,26,55,BOS
27,Train37_1729,27,55,BOS
28,Train37_1729,28,55,SNA
29,Train37_1729,29,55,DFW
30,Train37_1729,30,55,DFW
31,Train37_1729,31,55,BOS
32,Train37_1729,32,53,RDU
33,Train37_1729,33,50,SNA
34,Train37_1729,34,57,FLL
35,Train37_1729,35,95,SMF
36,Train37_1729,36,95,SMF
37,Train37_1729,37,95,SMF
38,Train37_1729,38,95,SMF
39,Train37_1729,39,95,SMF
40,Train37_1729,40,95,SMF
41,Train37_1729,41,54,BOS
42,Train37_1729,42,54,BOS
43,Train37_1729,43,54,BOS
44,Train37_1729,44,54,BOS
45,Train37_1729,45,54,BOS
46,Train37_1729,46,54,BOS
47,Train37_1729,47,54,BOS
48,Train37_1729,48,55,DFW
49,Train37_1729,49,55,DFW
50,Train37_1729,50,55,BOS
51,Train37_1729,51,55,BOS
52,Train37_1729,52,55,BOS
53,Train37_1729,53,60,SEA
54,Train37_1729,54,55,SNA
55,Train37_1729,55,55,SNA
56,Train37_1729,56,55,SNA
57,Train37_1729,57,60,DFW
58,Train37_1729,58,80,SAN
59,Train37_1729,59,70,SEA
60,Train37_1729,60,57,FLL
61,Train37_1729,61,59,DFW
62,Train37_1729,62,60,PDX
63,Train37_1729,63,57,SEA
64,Train37_3122,1,58,PDX
65,Train37_3122,2,59,PDX
66,Train37_3122,3,57,CLT
67,Train37_3122,4,58,FLL
68,Train37_3122,5,60,CLT
69,Train37_3122,6,51,SNA
70,Train37_3122,7,59,FLL
71,Train37_3122,8,59,FLL
72,Train37_3122,9,59,FLL
73,Train37_3122,10,46,SMF
74,Train37_3122,11,42,SMF
75,Train37_3122,12,60,CLT
76,Train37_3122,13,60,CLT
77,Train37_3122,14,60,PDX
78,Train37_3122,15,49,SNA
79,Train37_3122,16,59,FLL
80,Train37_3122,17,68,SNA
81,Train37_3122,18,65,FLL
82,Train37_3122,19,53,CLT
83,Train37_3122,20,59,DTW
84,Train37_3122,21,45,SMF
85,Train37_3122,22,45,SMF
86,Train37_3122,23,60,RDU
87,Train37_3122,24,65,DTW
88,Train37_3122,25,65,DTW
89,Train37_3122,26,42,SMF
90,Train37_3122,27,55,BOS
91,Train37_3122,28,60,CLT
92,Train37_3122,29,58,CLT
93,Train37_3122,30,58,RDU
94,Train37_3122,31,59,ORD
95,Train37_3122,32,59,ORD
96,Train37_3122,33,57,SNA
97,Train37_3122,34,57,SNA
98,Train37_3122,35,42,SMF
99,Train37_3122,36,51,SNA
100,Train37_3122,37,51,SNA
101,Train37_3122,38,51,SNA
102,Train37_3122,39,51,SNA
103,Train37_3122,40,51,SNA
104,Train37_3122,41,51,SNA
105,Train37_3122,42,51,SNA
106,Train37_3122,43,60,RDU
107,Train37_3122,44,58,RDU
108,Train37_3122,45,58,RDU
109,Train37_3122,46,60,RDU
110,Train37_3122,47,60,RDU
